Tension_Pa_m,Radius_m,Depth_Ratio,B_Parameter,Eigenvalue_X,Frequency_Hz,Mode_Number
6000,0.1,1,0,24.3524715307517,3002.1943350873,8
6000,0.1,1,0,27.4934791320416,3389.42054394051,9
6000,0.1,1,0,30.634606468442,3776.66151384457,10
6000,0.15,0.1,0,2.40482555769519,197.646021460799,1
6000,0.15,0.1,0,5.52007811028645,453.680090499623,2
6000,0.15,0.1,0,8.65372791291103,711.226179095654,3
6000,0.15,0.1,0,11.7915344390139,969.113897401653,4
6000,0.15,0.1,0,14.930917708488,1227.13120392381,5
6000,0.15,0.1,0,18.0710639679115,1485.21121849871,6
6000,0.15,0.1,0,21.2116366299,1743.32627793174,7
6000,0.15,0.1,0,24.3524715307517,2001.4628900582,8
6000,0.15,0.1,0,27.4934791320416,2259.61369596034,9
6000,0.15,0.1,0,30.634606468442,2517.77434256305,10
6000,0.15,0.4,0,2.40482555769519,197.646021460799,1
6000,0.15,0.4,0,5.52007811028645,453.680090499623,2
6000,0.15,0.4,0,8.65372791291103,711.226179095654,3
6000,0.15,0.4,0,11.7915344390139,969.113897401653,4
6000,0.15,0.4,0,14.930917708488,1227.13120392381,5
6000,0.15,0.4,0,18.0710639679115,1485.21121849871,6
6000,0.15,0.4,0,21.2116366299,1743.32627793174,7
6000,0.15,0.4,0,24.3524715307517,2001.4628900582,8
6000,0.15,0.4,0,27.4934791320416,2259.61369596034,9
6000,0.15,0.4,0,30.634606468442,2517.77434256305,10
6000,0.15,0.75,0,2.40482555769519,197.646021460799,1
6000,0.15,0.75,0,5.52007811028645,453.680090499623,2
6000,0.15,0.75,0,8.65372791291103,711.226179095654,3
6000,0.15,0.75,0,11.7915344390139,969.113897401653,4
6000,0.15,0.75,0,14.930917708488,1227.13120392381,5
6000,0.15,0.75,0,18.0710639679115,1485.21121849871,6
6000,0.15,0.75,0,21.2116366299,1743.32627793174,7
6000,0.15,0.75,0,24.3524715307517,2001.4628900582,8
6000,0.15,0.75,0,27.4934791320416,2259.61369596034,9
6000,0.15,0.75,0,30.634606468442,2517.77434256305,10
6000,0.15,1,0,2.40482555769519,197.646021460799,1
6000,0.15,1,0,5.52007811028645,453.680090499623,2
