Tension_Pa_m,Radius_m,Depth_Ratio,B_Parameter,Eigenvalue_X,Frequency_Hz,Mode_Number
500,0.1,0.4,105,10.2101350933859,363.359586135067,3
500,0.1,0.4,105,12.167252288755,433.009721772137,4
500,0.1,0.4,105,15.0450032566411,535.423489183331,5
500,0.1,0.4,105,18.1228045856518,644.956674286799,6
500,0.1,0.4,105,21.2401726490841,755.897965366603,7
500,0.1,0.4,105,24.3700888197762,867.28582008332,8
500,0.1,0.4,105,27.5051944468629,978.858357834157,9
500,0.1,0.4,105,30.6428225652621,1090.52066632661,10
500,0.1,0.75,56,4.86580468734017,173.164876001623,1
500,0.1,0.75,56,7.24359323276471,257.785917141603,2
500,0.1,0.75,56,9.08033269673274,323.152034765033,3
500,0.1,0.75,56,11.9005122064356,423.516941800988,4
500,0.1,0.75,56,14.975272064841,532.941886661771,5
500,0.1,0.75,56,18.0938541662126,643.926383078149,6
500,0.1,0.75,56,21.225007491831,755.358265821713,7
500,0.1,0.75,56,24.3610239683259,866.963218997123,8
500,0.1,0.75,56,27.4992950271595,978.648408535519,9
500,0.1,0.75,56,30.6387472841711,1090.37563470489,10
500,0.1,1,42,4.73517008937881,168.51583531646,1
500,0.1,1,42,6.74609191027608,240.080776809207,2
500,0.1,1,42,8.89891747614526,316.695806824036,3
500,0.1,1,42,11.862917180423,422.17900523426,4
500,0.1,1,42,14.9617487797002,532.460618270411,5
500,0.1,1,42,18.0873417171436,643.694617212488,6
500,0.1,1,42,21.2213275939841,755.227305149161,7
500,0.1,1,42,24.3587252431642,866.881411673738,8
500,0.1,1,42,27.49775643862,978.593653050912,9
500,0.1,1,42,30.6376639911297,1090.33708233437,10
500,0.15,0.1,630,5.11875232879055,121.444539222085,1
500,0.15,0.1,630,8.38743849304944,198.995485152267,2
500,0.15,0.1,630,11.5734917675793,274.585931223666,3
500,0.15,0.1,630,14.7253009726313,349.363922428783,4
500,0.15,0.1,630,17.8468012861109,423.422822508775,5
500,0.15,0.1,630,20.9066943667132,496.020065229911,6
500,0.15,0.1,630,23.6872074619664,561.988900985986,7
500,0.15,0.1,630,25.5092980652571,605.218762390475,8
500,0.15,0.1,630,27.7991929793543,659.547476664338,9
500,0.15,0.1,630,30.7630867083436,729.867094629793,10
500,0.15,0.4,157.5,5.06070730653962,120.067396799751,1
500,0.15,0.4,157.5,8.24097355411505,195.520543237021,2
500,0.15,0.4,157.5,11.0857118680072,263.01314915876,3
500,0.15,0.4,157.5,12.9406640488694,307.022665231017,4
500,0.15,0.4,157.5,15.2028409575412,360.693758236878,5
500,0.15,0.4,157.5,18.1708455699952,431.110908631351,6
500,0.15,0.4,157.5,21.2618303776036,504.445815575592,7
500,0.15,0.4,157.5,24.38200996549,578.47338088867,8
500,0.15,0.4,157.5,27.5125701490728,652.747230174919,9
500,0.15,0.4,157.5,30.6477498376829,727.130679149418,10
500,0.15,0.75,84,4.97682197148947,118.077182152061,1
500,0.15,0.75,84,7.85750605087097,186.422616389459,2
500,0.15,0.75,84,9.6775456395431,229.603816614567,3
500,0.15,0.75,84,12.0168699076968,285.105262980521,4
500,0.15,0.75,84,15.0097616393296,356.11287068316,5
500,0.15,0.75,84,18.109036636943,429.644465851513,6
500,0.15,0.75,84,21.2331902205564,503.766315874798,7
500,0.15,0.75,84,24.3659941887838,578.093399889897,8
500,0.15,0.75,84,27.5025621592223,652.509786431235,9
500,0.15,0.75,84,30.6410193547434,726.970995627571,10
500,0.15,1,63,4.90521924489229,116.378377525447,1
500,0.15,1,63,7.44681885592118,176.678890975248,2
500,0.15,1,63,9.20187929536439,218.318433716214,3
500,0.15,1,63,11.9234961158605,282.889930728323,4
500,0.15,1,63,14.9828569644217,355.474546021752,5
500,0.15,1,63,18.0973599886044,429.36743248751,6
500,0.15,1,63,21.2269449497933,503.618144214708,7
500,0.15,1,63,24.362218132441,578.003811374342,8
500,0.15,1,63,27.5000873609024,652.451070806348,9
500,0.15,1,63,30.639301804963,726.930246040898,10
500,0.2,0.1,840,5.12307789542681,91.1603738243327,1
500,0.2,0.1,840,8.39551186023907,149.390271873321,2
500,0.2,0.1,840,11.5871544949596,206.182563857506,3
500,0.2,0.1,840,14.7488254844758,262.441538481164,4
500,0.2,0.1,840,17.8914922649495,318.36235100073,5
500,0.2,0.1,840,21.0126940755171,373.901214480928,6
500,0.2,0.1,840,24.0887434637088,428.636632886331,7
500,0.2,0.1,840,26.9816586115429,480.113348974143,8
500,0.2,0.1,840,29.0147788090951,516.290819046208,9
500,0.2,0.1,840,31.0442827387348,552.403941017097,10
500,0.2,0.4,210,5.08137378950481,90.4182883117831,1
500,0.2,0.4,210,8.30246655109732,147.734617726127,2
500,0.2,0.4,210,11.3557469443054,202.064883187016,3
500,0.2,0.4,210,13.8641533809329,246.699626818466,4
500,0.2,0.4,210,15.5982343986207,277.55597470949,5
500,0.2,0.4,210,18.2547180398503,324.825613535182,6
500,0.2,0.4,210,21.2923595824588,378.8776002941,7
500,0.2,0.4,210,24.3970904064329,434.123377991538,8
500,0.2,0.4,210,27.5213354514794,489.716392979558,9
500,0.2,0.4,210,30.6533773433374,545.448145555507,10
500,0.2,0.75,112,5.02407248348458,89.3986652289309,1
500,0.2,0.75,112,8.09974856214042,144.127440940717,2
500,0.2,0.75,112,10.3748059628342,184.609956989164,3
500,0.2,0.75,112,12.2357380737142,217.72350129833,4
500,0.2,0.75,112,15.0592438348234,267.965142345334,5
500,0.2,0.75,112,18.1279549121364,322.569982380352,6
500,0.2,0.75,112,21.2426864593498,377.99371358301,7
500,0.2,0.75,112,24.3715314609834,433.668580491032,8
500,0.2,0.75,112,27.5061094741415,489.445460970657,9
500,0.2,0.75,112,30.6434437798032,545.27138709435,10
500,0.2,1,84,4.97682197148947,88.5578866140459,1
500,0.2,1,84,7.85750605087097,139.816962292095,2
500,0.2,1,84,9.6775456395431,172.202862460925,3
500,0.2,1,84,12.0168699076968,213.82894723539,4
500,0.2,1,84,15.0097616393296,267.08465301237,5
500,0.2,1,84,18.109036636943,322.233349388635,6
